Year,Month,Region,County,Age Category,Clinical Sign,Diagnosis,Cases,Temperature,Poultry Density,Outbreak Logistics Regression
2014,6,Scotland,Ayrshire,Adult,Found Dead,Egg peritonitis and salpingitis,1,15.1,287.5,0.531
2014,11,East of England, Suffolk,Adult,Egg drop or Egg quality,Pasteurella multocida,1,7.2,107.6,0.813
2014,11,North West,Greater Manchester,Adult,Wasting,Marek's Disease,1,7.2,187.1,0.758
2014,11,Scotland,Scotland,Adult,Tayside,Infectious laryngo-tracheitis,1,7.2,277.3,0.588
2014,11,South West,Northern Somerset & South Gloucestershire,Adult,Wasting,"Neoplasm (other, including adenocarcinoma)",1,7.2,83.3,0.419
2014,11,Wales,Carmarthenshire,Adult,Wasting,Helminthosis,1,7.2,180.9,0.768
2014,11,Wales,North East Wales,Adult,Found Dead,Marek's Disease,1,7.2,237.6,0.795
2014,7,Scotland,Lothian,Immature,Found Dead,"Yolk Sac
Infection",3,17.2,217.3,0.798
2014,10,Scotland,Ayrshire,Immature,Unknown,"Yolk Sac
Infection",2,10.6,166.9,0.674
2014,10,Scotland,Ayrshire,Immature,Unknown,Broiler ascites,2,10.6,101.2,0.178
2014,10,West Mislands,Herefordshire,Immature,Recumbent,Not listed - systemic,2,10.6,172.7,0.339
2014,8,Wales,Carmarthenshire,Unknown,Non specific,Egg peritonitis and salpingitis,2,16.8,143.1,0.489
2015,5,North West,Cumbria,0-7 Days,Unknown,Not listed - reproductive,1,12.5,169.4,0.504
2015,9,Wales,Ceredigion,0-7 Days,Wasting,Coccidiosis,1,14.2,141.5,0.766
2015,9,Wales,Ceredigion,0-7 Days,Wasting,Helminthosis,1,14.2,259.5,0.29
2015,9,Wales,Ceredigion,0-7 Days,Wasting,Infectious bronchitis,3,14.2,242.2,0.632
2015,4,East of England,Herefordshire,0-7 Days,"Found Dead, Other, Wasting"," Neoplasm (other, including adenocarcinoma)",3,9.3,128.5,0.399
2015,4,East of England,Tayside,Adult,"Found Dead, Other, Wasting"," Neoplasm (other, including adenocarcinoma)",3,9.3,193.2,0.72
2015,5,Scotland,Ayrshire,Adult,Unknown," Neoplasm (other, including adenocarcinoma)",1,12.5,119,0.257
2015,5,South West,Somerset excl North,Adult,Respiratory,"Neoplasm (other, including adenocarcinoma)",1,12.5,163.2,0.481
2015,5,South West,Somerset excl North,Adult,Respiratory, Egg peritonitis and salpingitis,1,12.5,138.2,0.183
2015,8,South West,Devon,Adult,Unknown,Egg peritonitis and salpingitis,1,16.8,214.3,0.27
2015,8,South West,Devon,Adult,Unknown,Not listed - digestive,1,16.8,142.6,0.848
2015,12,East of England,Suffolk,Adult,Respiratory,Mycotic pneumonia or airsacculitis,2,4.6,164.8,0.353
2015,6,Scotland,Ayrshire,Immature,Wasting,Colisepticaemia,1,15.1,229.8,0.814
2015,7,East Midlands,Lincolnshire,Immature,Found Dead,Found Dead,1,17.2,153.2,0.519
2015,1,East of England,Hertfordshire,Immature,Found Dead,Broiler ascites,1,4.1,276.6,0.131
2015,1,East of England,Hertfordshire,Immature,Unknown,"Yolk Sac
Infection",1,4.1,95.1,0.734
2015,9,Scotland,Ayrshire,Immature,Found Dead,Adverse environment,1,14.2,235.3,0.142
2015,11,Scotland,Ayrshire,Immature,Unknown,Adverse environment,1,7.2,155.6,0.762
2015,11,Scotland,Ayrshire,Immature,Unknown,Colisepticaemia,1,7.2,156.6,0.107
2015,11,Scotland,Ayrshire,Immature,Unknown,Sudden death ,1,7.2,208.6,0.639
2015,11,Scotland,Ayrshire,Immature,Unknown,"Yolk Sac
Infection",1,7.2,180.7,0.233
2015,10,East of England,Suffolk,Unknown,Respiratory,Visceral parasitism,1,10.6,153.7,0.374
2015,10,East of England,Suffolk,Unknown,Unknown,Coccidiosis,1,10.6,50.4,0.862
2015,10,East of England,Suffolk,Unknown,Respiratory,Infectious bronchitis,1,10.6,73.1,0.489
2015,10,Yorkshire and The Humber,North Yorkshire,Unknown,Non specific,Blackhead,1,10.6,227.3,0.626
2015,10,Yorkshire and The Humber,North Yorkshire,Unknown,Non specific,Red Mite,1,10.6,181.1,0.693
2015,7,South West,Devon,Unknown,Respiratory,Mycoplasma synoviae infection,1,17.2,224,0.188
2015,7,South West,Devon,Unknown,Respiratory,Infectious bronchitis,1,17.2,288.9,0.771
2015,7,South West,Devon,Unknown,Respiratory,Egg peritonitis and salpingitis,1,17.2,220.7,0.831
2016,1,Scotland,Ayrshire,0-7 Days,Found Dead,"Yolk Sac
Infection",1,4.1,63.3,0.224
2016,3,Scotland,Ayrshire,0-7 Days,Found Dead,"Yolk Sac
Infection",2,6.8,127.2,0.537
2016,3,Scotland,Ayrshire,0-7 Days,Found Dead,Sudden death syndrome ,1,6.8,198.1,0.327
2016,6,Scotland,Ayrshire,0-7 Days,Unknown,Colisepticaemia,1,15.1,108.8,0.693
2016,8,South West,Somerset excl North,0-7 Days,Wasting,Red Mite,1,16.8,291.2,0.123
2016,12,West Mislands,Hertfordshire,Adult,Wasting, Tuberculosis,1,4.6,286.3,0.51
2016,12,West Mislands,Hertfordshire,Adult,Recumbent,Neoplasm,1,4.6,262.1,0.734
2016,7,Yorkshire and The Humber,North Yorkshire,Adult,Unknown,Trauma/Fracture,1,17.2,168.1,0.688
2016,7,Yorkshire and The Humber,North Yorkshire,Adult,Unknown,Egg peritonitis and salpingitis,1,17.2,260.4,0.187
2016,7,East of England,Suffolk,Adult,Wasting,Egg peritonitis and salpingitis,1,17.2,82.8,0.766
2016,2,North West,Cumbria,Adult,Found dead,Neoplasm,1,4.5,127.2,0.29
2016,2,South West,Northern Somerset & South Gloucestershire,Adult,Wasting,Neoplasm-av. lymphoid leucosis,1,4.5,165.7,0.746
2016,2,East Midlands,Derbyshire,Adult,Musculoskeletal&/or Lame,Marek's Disease,1,4.5,235.5,0.498
2016,10,North East, Northumberland,Adult,Respiratory,Not listed - respiratory,1,10.6,171.5,0.229
2016,10,South East,Kent,Immature,Found dead,Vent & feather pecking,1,10.6,84.2,0.687
2016,1,Scotland,Ayrshire,Immature,Unknown,Colisepticaemia,1,4.1,135.9,0.746
2016,2,Scotland,Ayrshire,Immature,Unknown,Colisepticaemia,2,4.5,131.1,0.659
2016,2,Scotland,Ayrshire,Immature,Recumbent,Colisepticaemia,1,4.5,125.1,0.872
2016,2,North East,Durham,Immature,Respiratory,Mycoplasma gallisepticum,1,4.5,91.4,0.305
2016,2,North East,Durham,Immature,Respiratory,Ornithobacterium rhinotracheale (ORT),1,4.5,153.7,0.289
2016,4,South West,Somerset excl North,Immature,Egg drop or Egg quality, Infectious bronchitis,1,9.3,162,0.218
2016,4,Scotland,North Eastern Scotland,Unknown,Respiratory,Infectious laryngo-tracheitis,1,9.3,243.7,0.532
2016,7,Wales,Pembrokeshire,Unknown,Wasting,Coccidiosis,1,17.2,249.1,0.42
2016,9,South West,Devon,Unknown,Nervous,Coccidiosis,1,14.2,180.6,0.385
2016,10,Scotland,North Eastern Scotland,Unknown,Unknown,Foul pox,1,10.6,165.2,0.468
2016,10,South West,Devon,Unknown,Respiratory,Mycoplasma gallisepticum,1,10.6,244.6,0.32
2016,10,North East,Northumberland,Unknown,Found dead,Pasteurellosis (non-respiratory),1,10.6,271.8,0.103
2017,1,South East,Kent,0-7 Days,Found Dead,Yolk Sack Infection,1,4.1,218.7,0.477
2017,2,North West,Cheshire,Immature,Neurological,Marek's Disease,1,4.5,250.1,0.321
2017,2,South West,Somerset,Unknown,Digestive,Necrotic Enteritis,1,4.5,284.8,0.46
2017,3,Yorkshire & Humber,East Riding of Yorkshire,0-7 Days,Unknown,Omphalitis,1,6.8,60.2,0.843
2017,3,Wales,Pembrokeshire,ImImmature,Skin Lesions,Scaly Leg Mite,1,6.8,268.9,0.243
2017,4,Scotland,Ayrshire,Unknown,Respiratory,Mycoplasmosis,1,9.3,119.1,0.61
2017,5,North East,County Durham,Immature,Musculoskeletal,Bumblefoot,1,12.5,168.9,0.616
2017,6,Scotland,Ayrshire,0-7 Days,Other/Unknown,Cardiomyopathy,1,15.1,249.2,0.325
2017,6,South West,Devon,Unknown,Unknown,Egg Peritonitis & Salpingitis,1,15.1,229.3,0.477
2017,6,South West,Cornwall,ImImmature,Respiratory,Aspergillosis,1,15.1,86.8,0.876
2017,6,South East,Hampshire,Immature,Found Dead,Botulism,1,15.1,214.7,0.374
2017,7,Wales,"Conwy (was ""Correlation"")",ImImmature,Unknown,Pneumonia - Other Cause,1,17.2,67.3,0.67
2017,7,South West,Somerset,ImImmature,Found Dead,Trauma/Fracture,1,17.2,139.3,0.772
2017,8,North West,Lancashire,0-7 Days,Digestive,Coccidiosis,1,16.8,253.2,0.389
2017,8,Yorkshire & Humber,North Yorkshire,Immature,Respiratory,Pasteurellosis,1,16.8,156.9,0.892
2017,9,South East,Oxfordshire,Unknown,Reproductive,Salpingitis,1,14.2,200,0.601
2017,10,Scotland,Fife,0-7 Days,Respiratory,Colibacillosis,1,10.6,232,0.501
2017,11,South West,Somerset,Unknown,Respiratory,Pasteurellosis,1,7.2,255.3,0.672
2017,11,North East,Darlington,Unknown,Other/Unknown,Unknown,1,7.2,240.1,0.439
2017,11,Wales,Carmarthenshire,ImImmature,Digestive,Enteritis,1,7.2,51.8,0.67
2017,12,South East,East Sussex,Unknown,Found Dead,Heat Stress,1,4.6,155.1,0.32
2017,4,North West,Merseyside,ImImmature,Respiratory,Avian Influenza,1,9.3,165.8,0.842
2017,8,South West,Gloucestershire,Immature,Found Dead,Fatty Liver Hemorrhagic Syndrome,1,16.8,63.9,0.534
2017,10,Yorkshire & Humber,South Yorkshire,Unknown,Musculoskeletal,Rickets,1,10.6,185.4,0.293
2017,12,Scotland,Dumfries & Galloway,ImImmature,Skin Lesions,Lice Infestation,1,4.6,201.9,0.45
2017,1,South East,Kent,0-7 Days,Found Dead,Yolk Sack Infection,3,4.1,257.1,0.816
2017,2,North West,Cheshire,Immature,Neurological,Marek's Disease,2,4.5,285.5,0.746
2017,2,South West,Somerset,Unknown,Digestive,Necrotic Enteritis,4,4.5,82,0.488
2017,3,Yorkshire & Humber,East Riding of Yorkshire,0-7 Days,Unknown,Omphalitis,3,6.8,107.6,0.381
2017,3,Wales,Pembrokeshire,ImImmature,Skin Lesions,Red Mite Infestation,1,6.8,214.8,0.401
2017,4,Scotland,Ayrshire,Unknown,Respiratory,Mycoplasmosis,2,9.3,83.1,0.885
2017,5,North East,County Durham,Immature,Musculoskeletal,Bumblefoot,3,12.5,106,0.19
2017,6,Scotland,Ayrshire,0-7 Days,Other/Unknown,Cardiomyopathy,2,15.1,193.7,0.811
2017,6,South West,Devon,Unknown,Unknown,Egg Peritonitis & Salpingitis,2,15.1,92.4,0.786
2017,6,South West,Cornwall,ImImmature,Respiratory,Aspergillosis,3,15.1,245.6,0.28
2017,6,South East,Hampshire,Immature,Found Dead,Botulism,2,15.1,264.2,0.379
2017,7,Wales,Conwy,ImImmature,Unknown,Pneumonia - Other Cause,2,17.2,58.4,0.556
2017,7,South West,Somerset,ImImmature,Found Dead,Trauma/Fracture,1,17.2,183.2,0.742
2017,8,North West,Lancashire,0-7 Days,Digestive,Coccidiosis,1,16.8,249.2,0.86
2017,8,Yorkshire & Humber,North Yorkshire,Immature,Respiratory,Pasteurellosis,4,16.8,293.8,0.893
2017,9,South East,Oxfordshire,Unknown,Reproductive,Salpingitis,2,14.2,118.6,0.325
2017,10,Scotland,Fife,0-7 Days,Respiratory,Colibacillosis,1,10.6,92.3,0.254
2017,11,South West,Somerset,Unknown,Respiratory,Pasteurellosis,1,7.2,269.2,0.49
2017,11,North East,Darlington,Unknown,Other/Unknown,Unknown,3,7.2,277.3,0.546
2017,11,Wales,Carmarthenshire,ImImmature,Digestive,Enteritis,4,7.2,99.4,0.625
2017,12,South East,East Sussex,Unknown,Found Dead,Heat Stress,2,4.6,160.4,0.186
2017,6,South West,Dorset,Immature,Neurological,Newcastle Disease,1,15.1,229.8,0.617
2017,9,Yorkshire & Humber,West Yorkshire,Unknown,Musculoskeletal,Rickets,2,14.2,261.3,0.837
2017,4,North West,Greater Manchester,0-7 Days,Digestive,Rotavirus,1,9.3,92.1,0.832
2017,8,Wales,Gwynedd,Immature,Reproductive,Egg Binding,3,16.8,216.2,0.855
2017,10,Scotland,Highland,ImImmature,Skin Lesions,Lice Infestation,2,10.6,252,0.838
2017,5,South West,Wiltshire,Immature,Found Dead,Fatty Liver Syndrome,2,12.5,187.4,0.869
2018,1,South East,Kent,0-7 Days,Found Dead,Yolk Sack Infection,2,4.1,91.2,0.139
2018,2,North West,Cheshire,Immature,Neurological,Marek's Disease,3,4.5,58.9,0.833
2018,2,South West,Somerset,Unknown,Digestive,Necrotic Enteritis,1,4.5,120.4,0.317
2018,3,Yorkshire & Humber,East Riding,0-7 Days,Unknown,Omphalitis,2,6.8,252,0.357
2018,3,Wales,Pembrokeshire,Immature,Skin Lesions,Scaly Leg Mite,1,6.8,61.2,0.467
2018,4,Scotland,Ayrshire,Unknown,Respiratory,Mycoplasmosis,3,9.3,52.1,0.864
2018,5,North East,County Durham,Immature,Musculoskeletal,Bumblefoot,2,12.5,140.4,0.584
2018,6,Scotland,Ayrshire,0-7 Days,Other/Unknown,Cardiomyopathy,1,15.1,65.9,0.382
2018,6,South West,Devon,Unknown,Unknown,Egg Peritonitis & Salpingitis,2,15.1,87.4,0.399
2018,6,South West,Cornwall,Immature,Respiratory,Aspergillosis,1,15.1,55.8,0.824
2018,6,South East,Hampshire,Immature,Found Dead,Botulism,1,15.1,181.2,0.758
2018,7,Wales,Conwy,Immature,Unknown,Pneumonia - Other Cause,2,17.2,224.2,0.21
2018,7,South West,Somerset,Immature,Found Dead,Trauma/Fracture,1,17.2,156.8,0.299
2018,8,North West,Lancashire,0-7 Days,Digestive,Coccidiosis,3,16.8,83.6,0.398
2018,8,Yorkshire & Humber,North Yorkshire,Immature,Respiratory,Pasteurellosis,2,16.8,132.8,0.273
2018,9,South East,Oxfordshire,Unknown,Reproductive,Salpingitis,1,14.2,197.6,0.551
2018,10,Scotland,Fife,0-7 Days,Respiratory,Colibacillosis,2,10.6,285.2,0.279
2018,11,South West,Somerset,Unknown,Respiratory,Pasteurellosis,1,7.2,298.1,0.56
2018,11,North East,Darlington,Unknown,Other/Unknown,Unknown,1,7.2,110.4,0.849
2018,11,Wales,Carmarthenshire,Immature,Digestive,Enteritis,1,7.2,52.6,0.779
2018,12,South East,East Sussex,Unknown,Found Dead,Heat Stress,1,4.6,257.7,0.179
2018,4,North West,Merseyside,Immature,Respiratory,Avian Influenza,1,9.3,281.7,0.266
2018,8,South West,Gloucestershire,Immature,Found Dead,Fatty Liver Hemorrhagic Syndrome,1,16.8,164.7,0.43
2018,10,Yorkshire & Humber,South Yorkshire,Unknown,Musculoskeletal,Rickets,2,10.6,242.9,0.617
2018,12,Scotland,Dumfries & Galloway,Immature,Skin Lesions,Lice Infestation,1,4.6,266.5,0.409
2018,1,South East,Kent,0-7 Days,Found Dead,Yolk Sack Infection,1,4.1,202.4,0.301
2018,2,North West,Greater Manchester,0-7 Days,Digestive,Rotavirus,1,4.5,268.2,0.376
2018,3,Wales,Gwynedd,Immature,Reproductive,Egg Binding,2,6.8,56,0.263
2018,5,South West,Wiltshire,Immature,Found Dead,Fatty Liver Syndrome,1,12.5,117.9,0.789
2018,6,South West,Dorset,Immature,Neurological,Newcastle Disease,1,15.1,119.3,0.658
2018,9,Yorkshire & Humber,West Yorkshire,Unknown,Musculoskeletal,Rickets,1,14.2,80.2,0.429
2018,10,Scotland,Highland,Immature,Skin Lesions,Lice Infestation,1,10.6,277.7,0.66
2018,4,South West,Somerset,Immature,Respiratory,Infectious Laryngotracheitis,1,9.3,57.6,0.516
2018,7,Wales,South Wales,Adult,All,All,1,17.2,218.1,0.521
2018,8,South West,Gloucestershire,Immature,Found Dead,Egg Peritonitis,1,16.8,67.8,0.394
2018,9,South East,Berkshire,Unknown,Respiratory,Infectious Bronchitis,1,14.2,140.2,0.491
